ID,Product Name,Category,Price,Quantity,Sales Amount,Date
1,Project Management Tool,Software,43.85,8,350.8,2025-05-10
2,Monitor,Electronics,355.99,8,2847.92,2023-05-02
3,Tablet,Electronics,908.07,6,5448.42,2025-05-21
4,Laptop,Electronics,1032.44,6,6194.64,2023-12-10
5,Mechanical Pencil,Office Supplies,189.07,6,1134.42,2023-10-04
6,Tablet,Electronics,491.23,3,1473.69,2025-05-06
7,Webcam,Hardware,145.36,5,726.8,2025-04-11
8,Video Editing Pro,Software,78.56,2,157.12,2023-01-21
9,External Hard Drive,Hardware,173.35,9,1560.15,2023-11-12
10,Whiteboard,Office Supplies,208.43,7,1459.01,2025-06-16
11,External Hard Drive,Hardware,19.97,1,19.97,2025-02-14
12,Mechanical Keyboard,Hardware,133.3,6,799.8,2025-10-22
13,Mechanical Pencil,Office Supplies,254.26,2,508.52,2024-12-03
14,Mechanical Pencil,Office Supplies,220.91,8,1767.28,2023-09-27
15,Mechanical Pencil,Office Supplies,288.74,5,1443.7,2025-10-13
16,External Hard Drive,Hardware,166.51,8,1332.08,2023-12-04
17,Ergonomic Chair,Office Supplies,186.04,9,1674.36,2025-02-02
18,Monitor,Electronics,215.64,9,1940.76,2023-03-06
19,External Hard Drive,Hardware,11.6,3,34.8,2024-10-09
20,Wireless Earbuds,Electronics,971.27,5,4856.35,2024-02-23
21,Desk Lamp,Office Supplies,275.34,9,2478.06,2023-02-10
22,USB-C Hub,Hardware,37.67,7,263.69,2025-07-18
23,Antivirus Suite,Software,114.85,8,918.8,2025-03-15
24,Notebook,Office Supplies,121.05,3,363.15,2025-08-18
25,Monitor,Electronics,970.97,7,6796.79,2024-05-17
26,Cloud Storage Subscription,Software,75.58,3,226.74,2023-07-26
27,Project Management Tool,Software,81.8,4,327.2,2025-01-12
28,Whiteboard,Office Supplies,129.01,4,516.04,2023-08-19
29,Wireless Earbuds,Electronics,824.35,9,7419.15,2024-07-31
30,Tablet,Electronics,418.44,4,1673.76,2025-11-17
31,Notebook,Office Supplies,41.92,9,377.28,2023-07-09
32,Antivirus Suite,Software,126.34,9,1137.06,2024-09-24
33,Video Editing Pro,Software,86.4,9,777.6,2024-12-10
34,Whiteboard,Office Supplies,80.8,6,484.8,2024-11-14
35,USB-C Hub,Hardware,289.11,7,2023.77,2024-03-17
36,Notebook,Office Supplies,20.7,1,20.7,2025-08-09
37,Desk Lamp,Office Supplies,24.93,5,124.65,2023-08-08
38,External Hard Drive,Hardware,79.47,2,158.94,2024-01-20
39,Tablet,Electronics,1185.65,7,8299.55,2024-12-30
40,Webcam,Hardware,117.2,1,117.2,2023-07-22
41,Antivirus Suite,Software,81.14,2,162.28,2023-10-07
42,Notebook,Office Supplies,241.52,9,2173.68,2025-01-21
43,Webcam,Hardware,21.82,4,87.28,2024-04-08
44,Webcam,Hardware,216.23,3,648.69,2024-02-07
45,USB-C Hub,Hardware,210.37,7,1472.59,2024-05-03
46,Ergonomic Chair,Office Supplies,70.63,3,211.89,2024-04-17
47,Project Management Tool,Software,126.24,9,1136.16,2023-05-24
48,USB-C Hub,Hardware,80.14,5,400.7,2025-05-30
49,Wireless Earbuds,Electronics,539.03,3,1617.09,2025-10-11
50,Project Management Tool,Software,136.62,8,1092.96,2023-07-27
51,Ergonomic Chair,Office Supplies,34.4,8,275.2,2024-09-19
52,Mechanical Keyboard,Hardware,185.86,3,557.58,2023-04-14
53,Mechanical Keyboard,Hardware,292.36,2,584.72,2023-04-09
54,Mechanical Keyboard,Hardware,150.83,3,452.49,2023-12-04
55,External Hard Drive,Hardware,15.24,5,76.2,2023-06-10
56,USB-C Hub,Hardware,99.34,3,298.02,2024-02-05
57,Whiteboard,Office Supplies,268.69,2,537.38,2024-07-16
58,Smartphone,Electronics,868.92,1,868.92,2023-10-11
59,Tablet,Electronics,480.77,3,1442.31,2025-03-26
60,External Hard Drive,Hardware,298.42,5,1492.1,2023-01-17
61,Notebook,Office Supplies,279.21,1,279.21,2025-11-26
62,Whiteboard,Office Supplies,289.45,1,289.45,2024-08-29
63,Webcam,Hardware,121.68,7,851.76,2023-09-10
64,Wireless Earbuds,Electronics,572.69,6,3436.14,2023-05-08
65,Notebook,Office Supplies,38.18,6,229.08,2024-11-16
66,Antivirus Suite,Software,58.39,1,58.39,2023-06-04
67,External Hard Drive,Hardware,114.25,7,799.75,2023-09-03
68,Notebook,Office Supplies,187.34,7,1311.38,2025-07-09
69,Tablet,Electronics,394.27,8,3154.16,2024-11-15
70,Mechanical Keyboard,Hardware,24.72,3,74.16,2024-02-04
71,Video Editing Pro,Software,77.0,6,462.0,2025-04-13
72,Cloud Storage Subscription,Software,147.64,6,885.84,2024-07-28
73,Desk Lamp,Office Supplies,20.83,6,124.98,2023-11-01
74,Antivirus Suite,Software,36.52,1,36.52,2025-09-29
75,External Hard Drive,Hardware,289.92,7,2029.44,2025-09-30
76,Mechanical Keyboard,Hardware,66.37,3,199.11,2025-05-26
77,Project Management Tool,Software,146.86,3,440.58,2024-10-17
78,Wireless Earbuds,Electronics,278.46,5,1392.3,2025-12-17
79,Whiteboard,Office Supplies,134.21,5,671.05,2025-03-01
80,Laptop,Electronics,356.44,2,712.88,2024-09-25
81,Mechanical Keyboard,Hardware,63.03,5,315.15,2024-07-13
82,Monitor,Electronics,754.35,6,4526.1,2024-12-04
83,Wireless Earbuds,Electronics,555.97,5,2779.85,2023-06-03
84,Ergonomic Chair,Office Supplies,37.31,4,149.24,2025-12-28
85,Tablet,Electronics,297.83,5,1489.15,2025-06-30
86,Project Management Tool,Software,71.81,6,430.86,2023-12-23
87,Tablet,Electronics,460.89,3,1382.67,2025-03-12
88,Ergonomic Chair,Office Supplies,201.02,4,804.08,2025-10-12
89,USB-C Hub,Hardware,196.3,1,196.3,2023-12-02
90,USB-C Hub,Hardware,282.67,8,2261.36,2023-06-09
91,Mechanical Keyboard,Hardware,47.27,3,141.81,2024-01-15
92,Cloud Storage Subscription,Software,45.45,2,90.9,2025-12-02
93,Wireless Earbuds,Electronics,883.01,1,883.01,2025-01-23
94,Whiteboard,Office Supplies,16.75,2,33.5,2025-08-27
95,Cloud Storage Subscription,Software,110.58,8,884.64,2025-04-05
96,External Hard Drive,Hardware,91.79,5,458.95,2025-10-17
97,Wireless Earbuds,Electronics,450.02,8,3600.16,2025-09-04
98,Antivirus Suite,Software,51.02,7,357.14,2023-02-06
99,Smartphone,Electronics,303.12,1,303.12,2025-05-16
100,Tablet,Electronics,520.05,3,1560.15,2024-12-29
